"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"g31621"	41	60	27	24	77	33	24	44	47	12	43	4
"g31622"	0	0	0	0	0	0	0	0	0	0	0	0
"g31623"	34	34	26	29	36	25	20	54	37	26	28	15
"g31624"	28	32	44	14	66	55	11	13	18	6	46	0
"g31625"	0	0	0	0	0	0	0	0	0	0	0	0
"g31626"	111	185	135	62	174	162	91	132	129	65	164	28
"g31627"	18	44	24	15	36	27	24	59	20	15	20	8
"g31628"	0	0	8	2	1	6	0	5	19	8	8	0
"g31629"	44	80	67	24	85	38	42	50	60	14	57	3
"g3163"	21	6	4	2	7	10	5	19	16	4	28	0
"g31630"	4	4	0	1	6	1	2	3	2	0	5	6
"g31631"	0	0	0	0	1	0	0	0	0	1	1	0
"g31632"	13	30	14	10	39	23	6	34	29	33	32	0
"g31633"	8	4	1	0	10	3	1	5	1	0	11	1
"g31634"	0	4	0	2	3	2	0	4	1	4	1	2
"g31635"	173	377	227	155	360	369	178	293	265	96	375	38
"g31636"	24	52	34	32	39	42	27	45	35	9	43	5
"g31637"	0	8	0	0	6	5	2	6	0	0	0	0
"g31638"	0	1	1	0	8	5	0	5	0	3	3	0
"g31639"	102	119	60	27	130	86	93	135	98	33	161	31
"g3164"	6	2	1	1	2	1	1	0	0	3	4	0
"g31640"	6	0	2	0	1	8	1	5	11	0	4	0
"g31641"	35	22	19	1	6	37	8	8	6	2	16	0
"g31642"	28	35	34	32	46	32	16	28	71	22	47	11
"g31643"	86	132	78	56	162	111	60	125	121	63	128	15
"g31644"	0	1	0	0	0	0	0	0	0	0	0	0
"g31645"	47	72	54	38	78	93	53	95	75	41	89	14
"g31646"	21	55	17	11	58	51	38	35	38	11	53	8
"g31647"	107	154	139	77	254	164	191	196	111	44	212	29
"g31648"	0	3	1	0	2	16	6	2	2	0	0	1
"g31649"	281	432	170	207	407	414	245	443	321	144	461	54
"g3165"	0	0	0	0	0	0	0	0	0	0	0	0
"g31650"	64	102	99	46	188	135	64	129	141	57	130	36
"g31651"	0	7	3	2	5	6	5	7	0	0	1	0
"g31652"	91	65	38	22	86	118	33	105	78	60	118	11
"g31653"	4	2	4	0	1	6	4	0	11	0	1	0
"g31654"	0	0	0	0	0	0	0	0	0	0	0	0
"g31655"	17	6	11	6	0	9	9	4	14	6	6	1
"g31656"	0	0	0	0	0	0	0	0	0	0	0	0
"g31657"	0	0	0	0	0	0	0	0	0	0	3	0
"g31658"	5	23	26	4	13	7	9	7	21	6	27	3
"g31659"	0	0	0	0	0	0	0	1	0	0	0	0
"g3166"	0	0	0	0	0	0	0	0	0	0	0	0
"g31660"	166	194	59	34	142	139	91	208	92	29	172	18
"g31661"	20	32	22	15	46	41	26	22	33	10	44	0
"g31662"	0	34	29	46	29	33	12	42	17	9	33	3
"g31663"	1	0	0	0	0	0	0	15	1	0	2	1
"g31664"	3	5	0	1	8	1	1	1	2	0	6	0
"g31665"	413	685	304	221	675	712	420	690	590	189	643	149
"g31666"	0	1	0	0	0	0	0	0	0	0	0	0
"g31667"	2	7	2	6	6	13	9	9	11	2	12	2
"g31668"	0	0	0	0	0	0	0	0	0	0	0	0
"g31669"	233	401	202	209	373	410	231	449	394	116	276	40
"g3167"	0	0	0	0	0	0	0	0	0	0	1	0
"g31670"	171	202	103	52	172	197	90	180	161	63	202	38
"g31671"	31	12	6	4	17	13	10	12	12	0	19	6
"g31672"	0	0	0	0	0	0	0	0	0	0	0	0
"g31673"	5	1	3	0	7	3	0	7	0	3	3	0
"g31674"	76	74	58	26	82	48	65	72	79	31	84	19
"g31675"	0	1	0	0	0	1	0	0	1	0	0	0
"g31676"	0	0	0	0	0	0	0	0	0	0	0	0
"g31677"	2	2	0	3	4	0	3	0	3	0	0	0
"g31678"	8	23	12	3	25	11	26	26	24	8	13	5
"g31679"	83	191	110	135	226	274	97	223	279	81	206	54
"g3168"	0	0	0	0	0	0	0	0	0	0	0	0
"g31680"	118	220	134	130	358	263	114	201	213	68	233	104
"g31681"	0	10	13	0	1	0	2	0	0	1	5	0
"g31682"	49	52	36	35	64	78	52	74	63	31	66	19
"g31683"	0	0	0	0	0	0	0	0	0	0	0	0
"g31684"	3	11	5	4	16	3	4	8	5	2	13	0
"g31685"	1	2	11	7	0	12	0	7	4	0	12	4
"g31686"	22	5	0	0	0	0	0	0	2	0	0	0
"g31687"	112	74	70	105	238	208	69	156	136	104	189	17
"g31688"	293	432	261	167	411	447	204	551	331	145	449	51
"g31689"	6	38	17	13	16	6	1	25	16	3	13	0
"g3169"	13	30	7	3	25	23	15	16	7	5	23	6
"g31690"	0	0	0	0	0	0	0	0	0	0	0	0
"g31691"	0	0	0	0	0	0	0	0	0	0	0	0
"g31692"	0	0	0	0	0	0	0	0	0	0	0	0
"g31693"	78	76	43	30	91	90	42	106	85	35	65	23
"g31694"	10	33	24	18	44	51	24	43	37	9	54	22
"g31695"	126	209	87	86	230	160	118	230	191	64	191	52
"g31696"	48	65	48	34	92	62	25	73	77	26	101	30
"g31697"	0	17	5	0	7	3	2	8	13	3	16	1
"g31698"	0	7	0	0	0	2	0	0	0	0	0	0
"g31699"	143	201	145	111	209	224	113	242	265	48	253	37
"g317"	12	0	0	0	1	0	0	1	1	0	1	0
"g3170"	37	50	23	25	30	37	24	53	27	12	37	12
"g31700"	9	29	7	9	34	11	30	30	20	12	9	26
"g31701"	6	2	8	1	0	0	0	0	0	0	12	0
"g31702"	1	0	0	0	0	1	0	0	0	0	2	0
"g31703"	0	0	0	0	0	0	0	0	0	0	0	0
